 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  22   1.  1.98E+02  9.964E+02  6.699  0.000  0.000  0.000  0.000 -1.000  26.849
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.71E+00  4.224E+03
   1  -3.  7.98E+01  1.569E+02  1.821  0.000  0.587  0.000  0.000 -1.000  39.130
   2  -2.  9.85E+01  1.362E+02  2.731  0.000  0.293  0.000  0.000 -1.000  36.710
   3  -1.  1.16E+02  1.244E+02  4.096  0.000  0.440  0.000  0.000 -1.000  36.720
   4  -2.  1.72E+02  1.086E+02  6.144  0.000  0.660  0.000  0.000 -1.000  35.219
   5   0.  1.82E+02  1.072E+02  6.058  0.000  0.990  0.000  0.000 -1.000  35.175
   6   0.  1.90E+02  1.064E+02  5.985  0.000  1.485  0.000  0.000 -1.000  35.146
   7   0.  1.97E+02  1.057E+02  5.961  0.000  2.227  0.000  0.000 -1.000  35.146
   8   1.  1.98E+02  1.056E+02  5.954  0.000  2.314  0.000  0.000 -1.000  35.148
   9   1.  1.99E+02  1.056E+02  5.950  0.000  2.393  0.000  0.000 -1.000  35.150
  10   2.  1.99E+02  1.056E+02  5.950  0.000  2.401  0.000  0.000 -1.000  35.150
  11   2.  1.99E+02  1.056E+02  5.950  0.000  2.409  0.000  0.000 -1.000  35.150
  12   1.  1.99E+02  1.055E+02  5.950  0.000  2.483  0.000  0.000 -1.000  35.152
  13   0.  2.03E+02  1.053E+02  6.036  0.000  2.920  0.000  0.000 -1.000  35.159
  14   0.  2.04E+02  1.052E+02  6.138  0.000  3.213  0.000  0.000 -1.000  35.154
  15   0.  2.05E+02  1.051E+02  6.230  0.000  3.429  0.000  0.000 -1.000  35.144
  16   0.  2.05E+02  1.051E+02  6.289  0.000  3.543  0.000  0.000 -1.000  35.128
  17   3.  2.03E+02  1.047E+02  6.289  0.000  3.544  0.000  0.000 -1.000  35.128
  18   2.  2.03E+02  1.047E+02  6.275  0.000  3.532  0.000  0.000 -1.000  35.128
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.03E+02  1.221E+02
  19   2.  2.03E+02  1.046E+02  6.262  0.000  3.521  0.000  0.000 -1.000  35.129
   1   0.  2.04E+02  1.208E+02  6.254  0.000  3.532  0.000  0.000 -1.000  35.012
   2   0.  2.04E+02  1.199E+02  6.290  0.000  3.510  0.000  0.000 -1.000  34.881
   3   0.  2.04E+02  1.191E+02  6.333  0.000  3.452  0.000  0.000 -1.000  34.732
   4   0.  2.05E+02  1.182E+02  6.370  0.000  3.370  0.000  0.000 -1.000  34.568
   5   0.  2.05E+02  1.177E+02  6.400  0.000  3.273  0.000  0.000 -1.000  34.393
   6   0.  2.05E+02  1.173E+02  6.409  0.000  3.129  0.000  0.000 -1.000  34.209
   7   0.  2.05E+02  1.171E+02  6.408  0.000  2.970  0.000  0.000 -1.000  34.019
   8   0.  2.05E+02  1.168E+02  6.401  0.000  2.806  0.000  0.000 -1.000  33.828
   9   0.  2.06E+02  1.166E+02  6.393  0.000  2.641  0.000  0.000 -1.000  33.635
  10   0.  2.06E+02  1.163E+02  6.385  0.000  2.472  0.000  0.000 -1.000  33.441
