 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   2   0.  1.52E+02  1.304E+02  1.257  0.000  0.001  0.000  0.000 -1.000  14.465
   3  -1.  1.53E+02  1.214E+02  1.230  0.000  0.001  0.000  0.000 -1.000  14.657
   4  -2.  1.55E+02  1.204E+02  1.235  0.000  0.002  0.000  0.000 -1.000  13.405
   5  -3.  1.55E+02  1.155E+02  1.253  0.000  0.001  0.000  0.000 -1.000  13.393
   6  -4.  1.56E+02  1.179E+02  1.250  0.000  0.001  0.000  0.000 -1.000  13.949
   7  -5.  1.57E+02  1.135E+02  1.250  0.000  0.000  0.000  0.000 -1.000  14.476
   8  -5.  1.57E+02  1.135E+02  1.250  0.000  0.000  0.000  0.000 -1.000  14.256
   9  -6.  1.57E+02  1.135E+02  1.249  0.000  0.000  0.000  0.000 -1.000  14.354
  10  -6.  1.57E+02  1.135E+02  1.250  0.000  0.000  0.000  0.000 -1.000  14.309
  11  -1.  1.57E+02  1.135E+02  1.249  0.000  0.000  0.000  0.000 -1.000  14.313
  12  -0.  1.57E+02  1.135E+02  1.249  0.000  0.000  0.000  0.000 -1.000  14.314
