 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  17  -3.  1.32E+02  3.974E+01  1.013  1.013  1.624  1.624  0.246 -1.000   0.000
   1  -1.  1.33E+02  2.853E+02  1.106  1.106  1.632  1.632  0.250 -1.000   0.000
   2  -2.  1.30E+02  2.843E+02  1.162  1.162  1.669  1.669  0.284 -1.000   0.000
   3  -1.  1.32E+02  2.820E+02  1.150  1.150  1.666  1.666  0.285 -1.000   0.000
   4  -2.  1.28E+02  2.817E+02  1.180  1.180  1.679  1.679  0.304 -1.000   0.000
   5  -1.  1.28E+02  2.810E+02  1.170  1.170  1.677  1.677  0.304 -1.000   0.000
   6  -1.  1.28E+02  2.809E+02  1.172  1.172  1.676  1.676  0.306 -1.000   0.000
   7  -1.  1.28E+02  2.809E+02  1.174  1.174  1.676  1.676  0.307 -1.000   0.000
   8  -1.  1.28E+02  2.808E+02  1.176  1.176  1.676  1.676  0.309 -1.000   0.000
   9  -1.  1.27E+02  2.808E+02  1.177  1.177  1.676  1.676  0.310 -1.000   0.000
  10  -1.  1.27E+02  2.808E+02  1.178  1.178  1.676  1.676  0.312 -1.000   0.000
  11  -1.  1.27E+02  2.807E+02  1.179  1.179  1.676  1.676  0.313 -1.000   0.000
  12  -1.  1.27E+02  2.807E+02  1.180  1.180  1.676  1.676  0.314 -1.000   0.000
  13  -1.  1.27E+02  2.807E+02  1.181  1.181  1.676  1.676  0.316 -1.000   0.000
  14  -1.  1.27E+02  2.806E+02  1.182  1.182  1.676  1.676  0.317 -1.000   0.000
  15  -1.  1.27E+02  2.806E+02  1.183  1.183  1.677  1.677  0.318 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.27E+02  2.806E+02
  16  -1.  1.27E+02  2.806E+02  1.184  1.184  1.677  1.677  0.319 -1.000   0.000
   1  -3.  1.30E+02  2.802E+02  1.164  1.164  1.729  1.729  0.345 -1.000   0.000
   2  -2.  1.30E+02  2.669E+02  1.211  1.211  1.762  1.762  0.350 -1.000   0.000
   3  -1.  1.31E+02  2.639E+02  1.204  1.204  1.768  1.768  0.349 -1.000   0.000
   4  -2.  1.37E+02  2.613E+02  1.207  1.207  1.763  1.763  0.365 -1.000   0.000
   5  -1.  1.40E+02  2.554E+02  1.216  1.216  1.756  1.756  0.367 -1.000   0.000
   6  -1.  1.41E+02  2.492E+02  1.227  1.227  1.750  1.750  0.365 -1.000   0.000
   7  -2.  1.40E+02  2.528E+02  1.247  1.247  1.752  1.752  0.366 -1.000   0.000
   8   0.  1.44E+02  2.435E+02  1.251  1.251  1.739  1.739  0.367 -1.000   0.000
   9  -1.  1.47E+02  2.313E+02  1.272  1.272  1.705  1.705  0.363 -1.000   0.000
  10  -1.  1.47E+02  2.276E+02  1.297  1.297  1.654  1.654  0.357 -1.000   0.000
  11   0.  1.53E+02  2.147E+02  1.306  1.306  1.625  1.625  0.358 -1.000   0.000
  12   0.  1.49E+02  2.086E+02  1.314  1.314  1.594  1.594  0.358 -1.000   0.000
  13   0.  1.49E+02  2.054E+02  1.324  1.324  1.576  1.576  0.357 -1.000   0.000
  14   0.  1.50E+02  2.050E+02  1.333  1.333  1.565  1.565  0.356 -1.000   0.000
  15   0.  1.48E+02  1.980E+02  1.344  1.344  1.550  1.550  0.356 -1.000   0.000
  16   0.  1.50E+02  1.955E+02  1.353  1.353  1.538  1.538  0.356 -1.000   0.000
  17   0.  1.50E+02  1.893E+02  1.363  1.363  1.525  1.525  0.356 -1.000   0.000
  18   0.  1.53E+02  1.879E+02  1.371  1.371  1.513  1.513  0.355 -1.000   0.000
  19   0.  1.50E+02  1.800E+02  1.372  1.372  1.492  1.492  0.356 -1.000   0.000
  20   0.  1.58E+02  1.768E+02  1.378  1.378  1.472  1.472  0.356 -1.000   0.000
  21   0.  1.65E+02  1.739E+02  1.385  1.385  1.452  1.452  0.357 -1.000   0.000
  22   0.  1.69E+02  1.690E+02  1.392  1.392  1.432  1.432  0.357 -1.000   0.000
  23   0.  1.72E+02  1.663E+02  1.399  1.399  1.412  1.412  0.358 -1.000   0.000
  24  -1.  1.69E+02  1.516E+02  1.421  1.421  1.262  1.262  0.364 -1.000   0.000
  25  -1.  1.54E+02  1.487E+02  1.446  1.446  1.131  1.131  0.368 -1.000   0.000
  26  -1.  1.32E+02  1.377E+02  1.470  1.470  0.849  0.849  0.367 -1.000   0.000
  27  -1.  1.32E+02  1.106E+02  1.448  1.448  0.467  0.467  0.372 -1.000   0.000
  28  -1.  1.21E+02  1.057E+02  1.481  1.481  0.233  0.233  0.377 -1.000   0.000
  29  -1.  1.18E+02  1.043E+02  1.512  1.512  0.117  0.117  0.382 -1.000   0.000
