 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  18  -2.  1.47E+02  2.959E+01  1.138  1.138  1.489  1.489  0.374 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.47E+02  5.003E+01
  19  -1.  1.47E+02  2.958E+01  1.140  1.140  1.492  1.492  0.373 -1.000   0.000
   1  -1.  1.29E+02  4.681E+01  1.129  1.129  1.623  1.623  0.361 -1.000   0.000
   2  -1.  1.39E+02  4.444E+01  1.137  1.137  1.607  1.607  0.331 -1.000   0.000
   3  -1.  1.36E+02  4.368E+01  1.123  1.123  1.629  1.629  0.308 -1.000   0.000
   4  -1.  1.38E+02  4.324E+01  1.115  1.115  1.630  1.630  0.291 -1.000   0.000
   5  -1.  1.36E+02  4.286E+01  1.110  1.110  1.635  1.635  0.276 -1.000   0.000
   6  -1.  1.36E+02  4.249E+01  1.110  1.110  1.627  1.627  0.264 -1.000   0.000
   7  -1.  1.35E+02  4.206E+01  1.114  1.114  1.617  1.617  0.254 -1.000   0.000
   8  -1.  1.33E+02  4.150E+01  1.124  1.124  1.606  1.606  0.245 -1.000   0.000
   9  -2.  1.27E+02  4.068E+01  1.127  1.127  1.593  1.593  0.217 -1.000   0.000
  10  -2.  1.26E+02  4.026E+01  1.129  1.129  1.584  1.584  0.214 -1.000   0.000
  11  -3.  1.27E+02  4.019E+01  1.123  1.123  1.588  1.588  0.238 -1.000   0.000
  12  -4.  1.26E+02  4.013E+01  1.132  1.132  1.596  1.596  0.250 -1.000   0.000
  13  -1.  1.27E+02  3.992E+01  1.129  1.129  1.599  1.599  0.251 -1.000   0.000
  14  -2.  1.28E+02  3.989E+01  1.128  1.128  1.601  1.601  0.250 -1.000   0.000
  15  -1.  1.29E+02  3.979E+01  1.127  1.127  1.603  1.603  0.252 -1.000   0.000
  16  -2.  1.30E+02  3.976E+01  1.127  1.127  1.606  1.606  0.251 -1.000   0.000
  17  -1.  1.30E+02  3.971E+01  1.126  1.126  1.607  1.607  0.253 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.31E+02  2.905E+02
  18  -2.  1.31E+02  3.969E+01  1.126  1.126  1.610  1.610  0.252 -1.000   0.000
   1  -1.  1.32E+02  2.853E+02  1.211  1.211  1.615  1.615  0.257 -1.000   0.000
   2  -2.  1.29E+02  2.849E+02  1.260  1.260  1.659  1.659  0.292 -1.000   0.000
   3  -1.  1.30E+02  2.821E+02  1.248  1.248  1.654  1.654  0.293 -1.000   0.000
   4  -1.  1.30E+02  2.819E+02  1.252  1.252  1.654  1.654  0.295 -1.000   0.000
   5  -1.  1.29E+02  2.817E+02  1.255  1.255  1.656  1.656  0.297 -1.000   0.000
   6  -1.  1.29E+02  2.816E+02  1.257  1.257  1.658  1.658  0.299 -1.000   0.000
   7  -1.  1.29E+02  2.815E+02  1.259  1.259  1.660  1.660  0.301 -1.000   0.000
   8  -1.  1.29E+02  2.814E+02  1.261  1.261  1.661  1.661  0.303 -1.000   0.000
   9  -1.  1.29E+02  2.813E+02  1.263  1.263  1.663  1.663  0.305 -1.000   0.000
  10  -1.  1.29E+02  2.812E+02  1.265  1.265  1.664  1.664  0.307 -1.000   0.000
  11  -1.  1.29E+02  2.811E+02  1.266  1.266  1.664  1.664  0.309 -1.000   0.000
  12  -1.  1.28E+02  2.811E+02  1.268  1.268  1.665  1.665  0.311 -1.000   0.000
  13  -1.  1.28E+02  2.810E+02  1.269  1.269  1.665  1.665  0.312 -1.000   0.000
  14  -1.  1.28E+02  2.810E+02  1.270  1.270  1.666  1.666  0.314 -1.000   0.000
  15  -1.  1.28E+02  2.809E+02  1.271  1.271  1.666  1.666  0.315 -1.000   0.000
  16  -1.  1.28E+02  2.809E+02  1.272  1.272  1.666  1.666  0.317 -1.000   0.000
  17  -1.  1.28E+02  2.809E+02  1.273  1.273  1.666  1.666  0.318 -1.000   0.000
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.93E+00  2.308E+03
   1  -3.  9.73E+00  9.201E+02  1.500  1.500  0.300  0.300  0.400 -1.000   0.000
   2  -4.  9.66E+00  8.566E+02  2.250  2.250  0.450  0.450  0.571 -1.000   0.000
   3  -5.  1.24E+01  6.700E+02  1.125  1.125  0.675  0.675  0.471 -1.000   0.000
   4  -0.  1.40E+01  5.293E+02  1.557  1.557  1.012  1.012  0.372 -1.000   0.000
   5  -1.  2.56E+01  2.719E+02  1.975  1.975  1.519  1.519  0.283 -1.000   0.000
   6  -1.  2.87E+01  2.219E+02  2.962  2.962  2.016  2.016  0.208 -1.000   0.000
   7  -1.  4.32E+01  1.876E+02  1.961  1.961  2.356  2.356  0.230 -1.000   0.000
   8  -1.  5.23E+01  1.137E+02  2.653  2.653  1.766  1.766  0.166 -1.000   0.000
   9  -1.  6.83E+01  8.155E+01  1.326  1.326  1.903  1.903  0.227 -1.000   0.000
  10  -1.  8.67E+01  4.759E+01  1.590  1.590  1.388  1.388  0.164 -1.000   0.000
  11  -2.  1.37E+02  3.597E+01  0.941  0.941  1.684  1.684  0.144 -1.000   0.000
  12  -2.  1.54E+02  3.208E+01  1.336  1.336  1.405  1.405  0.120 -1.000   0.000
  13  -3.  1.50E+02  3.103E+01  1.077  1.077  1.492  1.492  0.124 -1.000   0.000
  14  -4.  1.52E+02  3.066E+01  1.181  1.181  1.408  1.408  0.111 -1.000   0.000
  15  -5.  1.49E+02  3.050E+01  1.125  1.125  1.429  1.429  0.108 -1.000   0.000
  16  -5.  1.45E+02  3.033E+01  1.148  1.148  1.407  1.407  0.100 -1.000   0.000
  17  -5.  1.42E+02  3.014E+01  1.137  1.137  1.406  1.406  0.095 -1.000   0.000
  18  -6.  1.38E+02  2.995E+01  1.142  1.142  1.393  1.393  0.089 -1.000   0.000
  19  -6.  1.35E+02  2.978E+01  1.142  1.142  1.384  1.384  0.085 -1.000   0.000
  20  -6.  1.33E+02  2.967E+01  1.145  1.145  1.373  1.373  0.083 -1.000   0.000
  21  -6.  1.31E+02  2.960E+01  1.146  1.146  1.363  1.363  0.082 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.31E+02  4.862E+01
  22  -7.  1.31E+02  2.958E+01  1.147  1.147  1.356  1.356  0.081 -1.000   0.000
   1  -3.  1.21E+02  4.381E+01  1.097  1.097  1.495  1.495  0.069 -1.000   0.000
   2  -4.  1.27E+02  4.342E+01  1.123  1.123  1.478  1.478  0.072 -1.000   0.000
   3  -5.  1.26E+02  4.341E+01  1.122  1.122  1.480  1.480  0.070 -1.000   0.000
   4  -5.  1.25E+02  4.340E+01  1.121  1.121  1.480  1.480  0.069 -1.000   0.000
   5  -6.  1.25E+02  4.340E+01  1.122  1.122  1.480  1.480  0.068 -1.000   0.000
   6  -6.  1.24E+02  4.340E+01  1.122  1.122  1.480  1.480  0.068 -1.000   0.000
   7  -6.  1.26E+02  4.336E+01  1.113  1.113  1.470  1.470  0.068 -1.000   0.000
   8  -7.  1.26E+02  4.335E+01  1.120  1.120  1.472  1.472  0.068 -1.000   0.000
   9  -7.  1.25E+02  4.335E+01  1.116  1.116  1.473  1.473  0.068 -1.000   0.000
  10  -7.  1.25E+02  4.335E+01  1.117  1.117  1.472  1.472  0.067 -1.000   0.000
  11  -7.  1.25E+02  4.334E+01  1.117  1.117  1.472  1.472  0.067 -1.000   0.000
  12  -8.  1.25E+02  4.334E+01  1.117  1.117  1.472  1.472  0.067 -1.000   0.000
  13  -8.  1.25E+02  4.334E+01  1.117  1.117  1.473  1.473  0.067 -1.000   0.000
  14  -8.  1.25E+02  4.334E+01  1.117  1.117  1.473  1.473  0.067 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.25E+02  3.078E+02
  15  -9.  1.25E+02  4.334E+01  1.117  1.117  1.473  1.473  0.067 -1.000   0.000
   1  -1.  1.23E+02  3.012E+02  1.107  1.107  1.578  1.578  0.067 -1.000   0.000
   2  -1.  1.18E+02  2.991E+02  1.109  1.109  1.611  1.611  0.067 -1.000   0.000
   3  -1.  1.14E+02  2.975E+02  1.110  1.110  1.639  1.639  0.068 -1.000   0.000
