 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  10  -4.  3.70E+02  2.728E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  11  -3.  3.91E+02  2.609E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  12  -4.  3.91E+02  2.608E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  13  -3.  3.99E+02  2.576E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  14  -4.  3.99E+02  2.576E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  15  -3.  4.02E+02  2.567E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.02E+02  2.678E+01
  16  -4.  4.03E+02  2.567E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   1  -3.  4.08E+02  2.583E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  4.07E+02  2.582E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -3.  4.02E+02  2.561E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   4  -4.  4.01E+02  2.561E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   5  -3.  3.95E+02  2.550E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   6  -4.  3.96E+02  2.548E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   7  -3.  3.91E+02  2.544E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   8  -4.  3.93E+02  2.541E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   9  -3.  4.02E+02  2.365E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  10  -4.  4.04E+02  2.361E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  11  -5.  4.04E+02  2.361E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  12  -5.  4.04E+02  2.361E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  13  -4.  4.04E+02  2.361E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  14  -3.  4.23E+02  2.263E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  15  -4.  4.23E+02  2.261E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.24E+02  2.208E+01
  16  -5.  4.23E+02  2.260E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   1  -3.  4.22E+02  2.241E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  4.20E+02  2.240E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -5.  4.20E+02  2.240E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   4  -3.  4.20E+02  2.240E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   5  -4.  4.20E+02  2.240E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   6  -3.  4.40E+02  2.129E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   7  -4.  4.86E+02  1.685E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   8  -5.  4.83E+02  1.691E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   9  -5.  5.89E+02  1.118E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  10  -5.  6.38E+02  1.133E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  11  -6.  6.34E+02  1.164E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  12  -6.  5.95E+02  9.926E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  13  -6.  6.94E+02  9.497E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  14  -6.  6.82E+02  9.520E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  15  -3.  5.84E+02  8.715E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  16  -4.  9.89E+02  3.165E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  17  -5.  1.03E+03  3.026E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  18  -5.  1.03E+03  3.049E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  19  -0.  1.04E+03  2.885E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  20   1.  1.04E+03  2.883E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
